# Định dạng: ID | Tâm (Center_X, Center_Y) | Khung (BBox [x, y, w, h])
# Tất cả giá trị đều là tỉ lệ (0.0 - 1.0) so với kích thước thật của ảnh.
ID: 173 | Center: 0.4341, 0.9732 | BBox: [0.4194, 0.9507, 0.0292, 0.0449]
ID: 174 | Center: 0.3803, 0.0811 | BBox: [0.3750, 0.0663, 0.0107, 0.0296]
ID: 175 | Center: 0.5622, 0.3706 | BBox: [0.5528, 0.3570, 0.0189, 0.0274]
ID: 176 | Center: 0.5820, 0.5108 | BBox: [0.5723, 0.4976, 0.0194, 0.0265]
ID: 177 | Center: 0.7544, 0.2655 | BBox: [0.7437, 0.2454, 0.0215, 0.0403]
ID: 178 | Center: 0.5124, 0.6136 | BBox: [0.5041, 0.5979, 0.0166, 0.0314]
ID: 179 | Center: 0.5658, 0.1119 | BBox: [0.5476, 0.0670, 0.0365, 0.0898]
ID: 180 | Center: 0.6873, 0.1302 | BBox: [0.6791, 0.1057, 0.0164, 0.0490]
ID: 181 | Center: 0.5844, 0.4223 | BBox: [0.5764, 0.4091, 0.0160, 0.0264]
ID: 182 | Center: 0.7559, 0.3196 | BBox: [0.7466, 0.3019, 0.0186, 0.0353]
ID: 183 | Center: 0.8623, 0.9744 | BBox: [0.8543, 0.9491, 0.0160, 0.0505]
ID: 184 | Center: 0.7039, 0.1372 | BBox: [0.6951, 0.1217, 0.0176, 0.0309]
ID: 185 | Center: 0.1989, 0.2652 | BBox: [0.1878, 0.2460, 0.0222, 0.0383]
ID: 186 | Center: 0.5839, 0.3701 | BBox: [0.5760, 0.3564, 0.0158, 0.0274]
ID: 187 | Center: 0.4944, 0.6118 | BBox: [0.4865, 0.5960, 0.0158, 0.0316]
ID: 188 | Center: 0.0837, 0.9516 | BBox: [0.0638, 0.9311, 0.0398, 0.0411]
ID: 189 | Center: 0.4679, 0.9740 | BBox: [0.4525, 0.9480, 0.0307, 0.0520]
ID: 190 | Center: 0.3083, 0.1090 | BBox: [0.3001, 0.0699, 0.0164, 0.0783]
ID: 191 | Center: 0.9938, 0.1927 | BBox: [0.9876, 0.1809, 0.0124, 0.0237]
ID: 192 | Center: 0.6393, 0.1187 | BBox: [0.6309, 0.0812, 0.0168, 0.0750]
ID: 193 | Center: 0.6069, 0.1142 | BBox: [0.5990, 0.0711, 0.0157, 0.0862]
ID: 194 | Center: 0.5153, 0.9372 | BBox: [0.5044, 0.9194, 0.0219, 0.0357]
ID: 195 | Center: 0.6228, 0.1152 | BBox: [0.6148, 0.0732, 0.0159, 0.0840]
ID: 196 | Center: 0.4763, 0.6118 | BBox: [0.4678, 0.5959, 0.0170, 0.0318]
ID: 197 | Center: 0.9935, 0.9026 | BBox: [0.9870, 0.8903, 0.0130, 0.0246]
ID: 198 | Center: 0.9753, 0.0450 | BBox: [0.9677, 0.0305, 0.0152, 0.0289]
ID: 199 | Center: 0.2411, 0.2651 | BBox: [0.2319, 0.2482, 0.0185, 0.0340]
ID: 200 | Center: 0.5909, 0.1130 | BBox: [0.5825, 0.0690, 0.0167, 0.0879]
ID: 201 | Center: 0.7638, 0.3654 | BBox: [0.7584, 0.3555, 0.0107, 0.0199]
ID: 202 | Center: 0.1799, 0.5494 | BBox: [0.1683, 0.5365, 0.0232, 0.0258]
ID: 203 | Center: 0.2211, 0.2639 | BBox: [0.2108, 0.2449, 0.0205, 0.0381]
ID: 204 | Center: 0.2316, 0.9734 | BBox: [0.2198, 0.9510, 0.0235, 0.0448]
ID: 205 | Center: 0.2099, 0.7665 | BBox: [0.2015, 0.7521, 0.0168, 0.0289]
ID: 206 | Center: 0.4528, 0.2679 | BBox: [0.4452, 0.2509, 0.0152, 0.0340]
ID: 207 | Center: 0.2106, 0.7988 | BBox: [0.2030, 0.7831, 0.0151, 0.0315]
ID: 208 | Center: 0.6871, 0.0827 | BBox: [0.6793, 0.0684, 0.0155, 0.0285]
ID: 209 | Center: 0.1825, 0.5772 | BBox: [0.1776, 0.5663, 0.0099, 0.0218]
ID: 210 | Center: 0.9023, 0.9305 | BBox: [0.8936, 0.9155, 0.0174, 0.0300]
ID: 211 | Center: 0.7038, 0.0802 | BBox: [0.6955, 0.0670, 0.0167, 0.0264]
ID: 212 | Center: 0.3185, 0.9390 | BBox: [0.3074, 0.9282, 0.0222, 0.0216]
ID: 213 | Center: 0.4921, 0.9357 | BBox: [0.4833, 0.9220, 0.0175, 0.0275]
ID: 214 | Center: 0.9470, 0.9326 | BBox: [0.9400, 0.9183, 0.0140, 0.0286]
ID: 215 | Center: 0.0064, 0.0450 | BBox: [0.0000, 0.0298, 0.0129, 0.0304]
ID: 216 | Center: 0.6029, 0.3693 | BBox: [0.5927, 0.3559, 0.0204, 0.0267]
ID: 217 | Center: 0.0027, 0.9733 | BBox: [0.0000, 0.9467, 0.0054, 0.0533]
ID: 218 | Center: 0.0281, 0.0431 | BBox: [0.0153, 0.0282, 0.0257, 0.0299]
ID: 219 | Center: 0.6714, 0.0809 | BBox: [0.6639, 0.0675, 0.0150, 0.0267]
ID: 220 | Center: 0.2108, 0.9383 | BBox: [0.2044, 0.9282, 0.0128, 0.0202]
ID: 221 | Center: 0.5152, 0.7297 | BBox: [0.5070, 0.7140, 0.0164, 0.0315]
ID: 222 | Center: 0.3048, 0.5461 | BBox: [0.2987, 0.5339, 0.0123, 0.0243]
ID: 223 | Center: 0.5388, 0.3043 | BBox: [0.5341, 0.2941, 0.0094, 0.0204]
ID: 224 | Center: 0.2208, 0.3678 | BBox: [0.2125, 0.3533, 0.0165, 0.0290]
